;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score
0;DUM;100;968;48.75;65.0;63.63636363636363;70.0;66.66666666666666
1;DUM;100;968;48.75;65.0;63.63636363636363;70.0;66.66666666666666
2;DUM;100;968;48.75;65.0;63.63636363636363;70.0;66.66666666666666
3;DUM;100;968;48.75;65.0;63.63636363636363;70.0;66.66666666666666
4;DUM;100;968;48.75;65.0;63.63636363636363;70.0;66.66666666666666
5;DT;100;968;100.0;100.0;100.0;100.0;100.0
6;DT;100;968;100.0;100.0;100.0;100.0;100.0
7;DT;100;968;100.0;100.0;100.0;100.0;100.0
8;DT;100;968;100.0;100.0;100.0;100.0;100.0
9;DT;100;968;100.0;100.0;100.0;100.0;100.0
10;NB;100;968;100.0;100.0;100.0;100.0;100.0
11;NB;100;968;100.0;100.0;100.0;100.0;100.0
12;NB;100;968;100.0;100.0;100.0;100.0;100.0
13;NB;100;968;100.0;100.0;100.0;100.0;100.0
14;NB;100;968;100.0;100.0;100.0;100.0;100.0
15;KNN;100;968;100.0;100.0;100.0;100.0;100.0
16;KNN;100;968;100.0;100.0;100.0;100.0;100.0
17;KNN;100;968;100.0;100.0;100.0;100.0;100.0
18;KNN;100;968;100.0;100.0;100.0;100.0;100.0
19;KNN;100;968;100.0;100.0;100.0;100.0;100.0
20;XGB;100;968;100.0;100.0;100.0;100.0;100.0
21;XGB;100;968;100.0;100.0;100.0;100.0;100.0
22;XGB;100;968;100.0;100.0;100.0;100.0;100.0
23;XGB;100;968;100.0;100.0;100.0;100.0;100.0
24;XGB;100;968;100.0;95.0;100.0;90.0;94.73684210526315
25;RF;100;968;100.0;100.0;100.0;100.0;100.0
26;RF;100;968;100.0;100.0;100.0;100.0;100.0
27;RF;100;968;100.0;100.0;100.0;100.0;100.0
28;RF;100;968;100.0;100.0;100.0;100.0;100.0
29;RF;100;968;100.0;100.0;100.0;100.0;100.0
30;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666
31;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666
32;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666
33;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666
34;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666
