;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score
0;DUM;114;192;46.15384615384615;65.21739130434783;61.53846153846154;72.72727272727273;66.66666666666666
1;DUM;114;192;46.15384615384615;65.21739130434783;61.53846153846154;72.72727272727273;66.66666666666666
2;DUM;114;192;52.74725274725275;39.130434782608695;40.0;33.33333333333333;36.36363636363637
3;DUM;114;192;52.74725274725275;39.130434782608695;40.0;33.33333333333333;36.36363636363637
4;DUM;114;192;46.73913043478261;59.09090909090909;58.333333333333336;63.63636363636363;60.86956521739131
5;DT;114;192;100.0;100.0;100.0;100.0;100.0
6;DT;114;192;100.0;100.0;100.0;100.0;100.0
7;DT;114;192;100.0;100.0;100.0;100.0;100.0
8;DT;114;192;100.0;100.0;100.0;100.0;100.0
9;DT;114;192;100.0;100.0;100.0;100.0;100.0
10;NB;114;192;100.0;100.0;100.0;100.0;100.0
11;NB;114;192;100.0;100.0;100.0;100.0;100.0
12;NB;114;192;100.0;100.0;100.0;100.0;100.0
13;NB;114;192;100.0;100.0;100.0;100.0;100.0
14;NB;114;192;100.0;100.0;100.0;100.0;100.0
15;KNN;114;192;100.0;100.0;100.0;100.0;100.0
16;KNN;114;192;100.0;100.0;100.0;100.0;100.0
17;KNN;114;192;100.0;100.0;100.0;100.0;100.0
18;KNN;114;192;100.0;100.0;100.0;100.0;100.0
19;KNN;114;192;100.0;100.0;100.0;100.0;100.0
20;XGB;114;192;100.0;100.0;100.0;100.0;100.0
21;XGB;114;192;100.0;91.30434782608695;100.0;81.81818181818183;90.0
22;XGB;114;192;100.0;100.0;100.0;100.0;100.0
23;XGB;114;192;100.0;100.0;100.0;100.0;100.0
24;XGB;114;192;100.0;100.0;100.0;100.0;100.0
25;RF;114;192;100.0;100.0;100.0;100.0;100.0
26;RF;114;192;100.0;100.0;100.0;100.0;100.0
27;RF;114;192;100.0;100.0;100.0;100.0;100.0
28;RF;114;192;100.0;100.0;100.0;100.0;100.0
29;RF;114;192;100.0;100.0;100.0;100.0;100.0
30;MLP;114;192;50.54945054945055;47.82608695652174;47.82608695652174;100.0;64.70588235294117
31;MLP;114;192;50.54945054945055;47.82608695652174;47.82608695652174;100.0;64.70588235294117
32;MLP;114;192;49.45054945054945;52.17391304347826;52.17391304347826;100.0;68.57142857142857
33;MLP;114;192;49.45054945054945;52.17391304347826;52.17391304347826;100.0;68.57142857142857
34;MLP;114;192;50.0;50.0;50.0;100.0;66.66666666666666
35;SVM;114;192;100.0;100.0;100.0;100.0;100.0
36;SVM;114;192;100.0;100.0;100.0;100.0;100.0
37;SVM;114;192;100.0;100.0;100.0;100.0;100.0
38;SVM;114;192;100.0;100.0;100.0;100.0;100.0
39;SVM;114;192;100.0;100.0;100.0;100.0;100.0
40;DUM;1152;19;51.14006514657981;47.61904761904761;47.41379310344828;47.82608695652174;47.61904761904761
