;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score
1610;DUM;524000;10;50.02027671755725;50.0609096692112;50.060935834407275;50.03944020356235;50.050185710990746
1611;DUM;524000;10;50.02027671755725;50.0609096692112;50.060935834407275;50.03944020356235;50.050185710990746
1612;DUM;524000;10;50.02027671755725;50.0609096692112;50.060935834407275;50.03944020356235;50.050185710990746
1613;DUM;524000;10;50.02027671755725;50.0609096692112;50.060935834407275;50.03944020356235;50.050185710990746
1614;DUM;524000;10;50.02027671755725;50.0609096692112;50.060935834407275;50.03944020356235;50.050185710990746
1615;DT;524000;10;86.69469624681933;86.61816157760815;93.13199884609189;79.06711195928753;85.52515916390139
1616;DT;524000;10;86.68746024173029;86.64710559796438;93.13893974622502;79.12277353689568;85.56064022067561
1617;DT;524000;10;86.67553276081425;86.71898854961833;93.12474084699606;79.29198473282443;85.65347131673478
1618;DT;524000;10;86.66841603053436;86.72105597964376;93.17991412713373;79.24204834605598;85.64764203158626
1619;DT;524000;10;86.67748091603053;86.68686386768448;93.19803303983731;79.15044529262086;85.60175160084691
1620;NB;524000;10;82.59784510178118;82.51828880407125;97.39998423670899;66.82029262086515;79.26299446698775
1621;NB;524000;10;82.48505089058524;82.54930025445293;97.50046416635723;66.81138676844783;79.28997433187376
1622;NB;524000;10;82.55979643765903;82.56059160305344;97.44273022611307;66.87627226463104;79.3165301399344
1623;NB;524000;10;82.51530693384224;82.55104961832062;97.49001155457798;66.82251908396947;79.29435609427456
1624;NB;524000;10;82.54122932569975;82.52687659033079;97.4829480292147;66.77798982188295;79.26066168212303
1625;KNN;524000;10;88.62579516539441;85.14249363867684;89.12935693390848;80.04802798982188;84.34495262799825
1626;KNN;524000;10;88.61335082697201;85.1989503816794;89.15186958044555;80.15076335877862;84.4120410614062
1627;KNN;524000;10;88.61128339694656;85.1754134860051;89.08945669962074;80.16889312977099;84.39410097452115
1628;KNN;524000;10;88.61633269720102;85.1801844783715;89.09641684369775;80.17175572519083;84.39880999218158
1629;KNN;524000;10;88.60253657760813;85.19083969465649;89.19345925495587;80.08460559796437;84.39395869225665
1630;XGB;524000;10;86.9135655216285;86.8490776081425;92.04521947413308;80.66984732824427;85.9829306121757
1631;XGB;524000;10;86.90680661577608;86.87993002544529;92.11986036391112;80.65966921119593;86.00969666958912
1632;XGB;524000;10;86.89301049618321;86.92223282442748;92.01402838250144;80.86259541984732;86.07864945987536
1633;XGB;524000;10;86.89623091603053;86.93686386768448;92.10565435724516;80.79898218829517;86.08263230572429
1634;XGB;524000;10;86.90064408396947;86.89615139949109;92.06748116960591;80.74968193384224;86.0379801101752
1635;RF;524000;10;86.73342080152672;86.6550572519084;93.06316910487081;79.21469465648855;85.5823303523105
1636;RF;524000;10;86.72399809160305;86.68638676844783;93.06569888137163;79.27989821882952;85.62144039791971
1637;RF;524000;10;86.71636450381679;86.75381679389314;93.0493774727854;79.44179389312977;85.7088442097244
1638;RF;524000;10;86.71664281170483;86.7743320610687;93.06041273281863;79.47519083969465;85.73296071559075
1639;RF;524000;10;86.72399809160305;86.73043893129771;93.07639798122224;79.3645038167939;85.67529009430318
1640;MLP;524000;10;86.77381520356235;86.70992366412213;92.93047269048222;79.4650127226463;85.67186289100273
1641;MLP;524000;10;86.76236482188295;86.71898854961833;93.03952965563008;79.37627226463104;85.6665219204674
1642;MLP;524000;10;86.75202767175573;86.80232188295165;92.99550746340756;79.60019083969465;85.77803750730489
1643;MLP;524000;10;86.7513915394402;86.81075063613231;93.03269850004834;79.58142493638677;85.78295408182507
1644;MLP;524000;10;86.77317907124682;86.76972010178116;92.87409693067691;79.65076335877863;85.75567259552493
1155;DUM;327500;16;50.02620865139949;50.07226463104326;50.072333835934636;50.02442748091603;50.04836919442379
1156;DUM;327500;16;50.02620865139949;50.07226463104326;50.072333835934636;50.02442748091603;50.04836919442379
1157;DUM;327500;16;50.02620865139949;50.07226463104326;50.072333835934636;50.02442748091603;50.04836919442379
1158;DUM;327500;16;50.02620865139949;50.07226463104326;50.072333835934636;50.02442748091603;50.04836919442379
1159;DUM;327500;16;50.02620865139949;50.07226463104326;50.072333835934636;50.02442748091603;50.04836919442379
1160;DT;327500;16;92.2276717557252;92.23664122137404;95.07560122526124;89.08753180661577;91.98421539366934
1161;DT;327500;16;92.23530534351146;92.21552162849873;94.97221544550162;89.15063613231553;91.96939271042511
1162;DT;327500;16;92.23912213740458;92.19974554707379;95.03793783300836;89.04885496183206;91.94597193504231
1163;DT;327500;16;92.23250636132315;92.22646310432569;95.09314812399461;89.04783715012724;91.97125947417662
1164;DT;327500;16;92.22150127226463;92.270737913486;95.0826078461171;89.15216284987278;92.02193599899144
1165;NB;327500;16;88.68581424936387;88.69923664122138;97.3676342344587;79.54910941475826;87.56105758458436
1166;NB;327500;16;88.60667938931299;88.59872773536895;97.33158600892384;79.3735368956743;87.44004821371007
1167;NB;327500;16;88.62150127226464;88.61603053435114;97.4125703717126;79.33944020356233;87.45200438656768
1168;NB;327500;16;88.6279262086514;88.59847328244274;97.4161967516473;79.30025445292621;87.42965510663248
1169;NB;327500;16;88.63708651399492;88.66819338422391;97.35146386150338;79.49923664122137;87.52430203436742
1170;KNN;327500;16;93.45903307888041;91.70763358778626;94.32111317214041;88.75928753180662;91.45571860424265
1171;KNN;327500;16;93.46774809160306;91.66641221374046;94.22755927204369;88.77099236641222;91.41792511418397
1172;KNN;327500;16;93.50006361323156;91.66335877862596;94.28795542452193;88.7002544529262;91.40879233260348
1173;KNN;327500;16;93.48352417302799;91.67837150127227;94.40071129616378;88.61272264631043;91.41519141519142
1174;KNN;327500;16;93.4650127226463;91.75445292620866;94.30760839629112;88.87328244274809;91.5098368515787
1175;XGB;327500;16;92.56660305343512;92.59312977099236;95.62081991071575;89.27480916030535;92.33891025084286
1176;XGB;327500;16;92.57347328244275;92.56692111959288;95.5661723848643;89.27582697201018;92.31396652160414
1177;XGB;327500;16;92.58333333333333;92.54529262086514;95.5631250510941;89.23358778625953;92.28995881416373
1178;XGB;327500;16;92.58174300254453;92.52977099236641;95.57854665241389;89.1852417302799;92.27128174887326
1179;XGB;327500;16;92.5662213740458;92.60356234096692;95.57163231755779;89.34707379134859;92.35459045454785
1180;RF;327500;16;92.24732824427481;92.25648854961833;95.05176118236864;89.15419847328245;92.00857124850317
1181;RF;327500;16;92.2545165394402;92.23562340966922;94.95731403436545;89.20865139949109;91.99326168185063
1182;RF;327500;16;92.27888040712469;92.23867684478371;94.95471976081635;89.2178117048346;91.99691442245125
1183;RF;327500;16;92.25617048346056;92.24860050890585;95.08028475702797;89.10788804071247;91.99725737343593
1184;RF;327500;16;92.24204834605598;92.28880407124682;95.05223722803841;89.22188295165394;92.044825133155
1185;MLP;327500;16;92.48549618320611;92.48804071246819;95.53879216302307;89.1384223918575;92.2276982697796
1186;MLP;327500;16;92.45756997455472;92.44223918575064;95.79393579986602;88.78269720101781;92.15515374335081
1187;MLP;327500;16;92.49281170483461;92.46412213740459;95.64311267189602;88.98167938931297;92.19222069314604
1188;MLP;327500;16;92.47041984732824;92.45114503816794;95.86222063391703;88.73231552162851;92.15957292175958
1189;MLP;327500;16;92.46138676844784;92.52391857506362;95.73665686902358;89.0117048346056;92.25178469238945
980;DUM;262000;20;50.01749363867685;50.036577608142494;50.0366379722316;49.95419847328244;49.995384238287905
981;DUM;262000;20;50.01749363867685;50.036577608142494;50.0366379722316;49.95419847328244;49.995384238287905
982;DUM;262000;20;50.01749363867685;50.036577608142494;50.0366379722316;49.95419847328244;49.995384238287905
983;DUM;262000;20;50.01749363867685;50.036577608142494;50.0366379722316;49.95419847328244;49.995384238287905
984;DUM;262000;20;50.01749363867685;50.036577608142494;50.0366379722316;49.95419847328244;49.995384238287905
985;DT;262000;20;94.42851463104326;94.3839058524173;97.63567717400952;90.970737913486;94.1854453368635
986;DT;262000;20;94.43821564885496;94.38931297709924;97.6157982367552;91.00127226463104;94.19255435426736
987;DT;262000;20;94.44489503816794;94.40648854961832;97.55504387160063;91.09605597964376;94.21497934156162
988;DT;262000;20;94.4066475826972;94.43988549618321;97.60345614740415;91.11704834605598;94.24878188404128
989;DT;262000;20;94.42159669211196;94.44465648854961;97.654352986113;91.07697201017811;94.25104999144207
990;NB;262000;20;91.12770356234097;91.0648854961832;97.43548292281466;84.34987277353689;90.42170153569188
991;NB;262000;20;91.189487913486;91.19020356234097;97.52157703147017;84.52862595419847;90.56144703124149
992;NB;262000;20;91.19608778625954;91.18066157760815;97.48965638663107;84.5381679389313;90.55315553496231
993;NB;262000;20;91.08945610687023;91.16952926208651;97.34934117629844;84.6437659033079;90.55304321787922
994;NB;262000;20;91.0800731552163;91.07601781170483;97.43056728784552;84.37722646310432;90.435298409008
995;KNN;262000;20;95.37778307888041;94.1453562340967;96.15448565746856;91.96882951653944;94.01509313720709
996;KNN;262000;20;95.39185750636132;94.09701017811705;96.12602721495824;91.89758269720102;93.96425841910988
997;KNN;262000;20;95.39829834605598;94.11800254452926;96.0964553714449;91.97201017811705;93.98900709565648
998;KNN;262000;20;95.391618956743;94.20642493638677;96.09448066807728;92.15839694656488;94.08529002048961
999;KNN;262000;20;95.39368638676845;94.17080152671757;96.14978166809563;92.02671755725191;94.04308016342769
1000;XGB;262000;20;94.77242366412214;94.74745547073792;96.91159601995358;92.44083969465649;94.62343886334926
1001;XGB;262000;20;94.77719465648855;94.72360050890585;96.93635714238027;92.36641221374046;94.59622331744785
1002;XGB;262000;20;94.77083333333334;94.74491094147582;96.8845400130644;92.46310432569975;94.62219994401515
1003;XGB;262000;20;94.76590330788804;94.7849872773537;96.8628103574519;92.56806615776081;94.6667534072797
1004;XGB;262000;20;94.75779262086515;94.7808524173028;96.92376400637244;92.4974554707379;94.65889376051767
1005;RF;262000;20;94.31735050890585;94.31615776081425;95.9980719964081;92.48791348600508;94.21030804919455
1006;RF;262000;20;94.33381043256998;94.31202290076335;95.95948932801109;92.51972010178116;94.2082166048613
1007;RF;262000;20;94.32856234096693;94.30534351145037;95.88928274935101;92.57951653944019;94.20533766595247
1008;RF;262000;20;94.31512404580153;94.33301526717557;95.89284655959224;92.63358778625954;94.23504402100583
1009;RF;262000;20;94.32482506361323;94.33396946564886;95.95647873392682;92.56870229007633;94.23215152986887
1010;MLP;262000;20;94.68487595419847;94.67080152671755;96.92919437297424;92.264631043257;94.53941043231704
1011;MLP;262000;20;94.66022582697201;94.61863867684478;97.13078127414813;91.95356234096693;94.4712944536486
1012;MLP;262000;20;94.65020674300254;94.64599236641222;97.13623694549851;92.00445292620864;94.5007268985119
1013;MLP;262000;20;94.67851463104326;94.70801526717557;96.75176946410515;92.52226463104326;94.58976093233787
1014;MLP;262000;20;94.67771946564886;94.71946564885496;96.71464455165265;92.58396946564885;94.60423938690742
735;DUM;209600;25;50.03091205470738;49.96620547073791;49.966151910226905;49.88708651399491;49.92658790948627
736;DUM;209600;25;50.03091205470738;49.96620547073791;49.966151910226905;49.88708651399491;49.92658790948627
737;DUM;209600;25;50.03091205470738;49.96620547073791;49.966151910226905;49.88708651399491;49.92658790948627
738;DUM;209600;25;50.03091205470738;49.96620547073791;49.966151910226905;49.88708651399491;49.92658790948627
739;DUM;209600;25;50.03091205470738;49.96620547073791;49.966151910226905;49.88708651399491;49.92658790948627
740;DT;209600;25;96.24373807251908;96.23528944020356;98.22831216874165;94.16905216284988;96.15586039468502
741;DT;209600;25;96.22594624681933;96.21660305343511;98.29654989031444;94.06329516539441;96.13334200175535
742;DT;209600;25;96.21928673664122;96.2901558524173;98.31680292152551;94.19290712468194;96.21068448090317
743;DT;209600;25;96.24403625954199;96.23608460559797;98.13173077719006;94.26685750636132;96.16047565164844
744;DT;209600;25;96.2071604643766;96.12038804071247;98.2826651571657;93.88120229007633;96.03152654867256
745;NB;209600;25;93.33502305979644;93.42199427480917;97.61022520205411;89.02353689567431;93.11935190075565
746;NB;209600;25;93.31186386768448;93.2840330788804;97.57634555211774;88.77305979643766;92.96676576148958
747;NB;209600;25;93.3187221692112;93.3214058524173;97.62824771829213;88.80009541984732;93.00514682612389
748;NB;209600;25;93.3191197519084;93.40131997455471;97.53616498724101;89.05216284987277;93.10128397504374
749;NB;209600;25;93.41622932569975;93.27170801526718;97.47193216613017;88.84780534351145;92.9602775455192
750;KNN;209600;25;96.97191078244275;96.18559160305344;97.58639335397925;94.71374045801527;96.12861051255356
751;KNN;209600;25;96.97777512722647;96.14583333333333;97.56257478649991;94.65648854961832;96.08756366688999
752;KNN;209600;25;96.9559080788804;96.22177162849873;97.6459209350743;94.72725826972011;96.164448803484
753;KNN;209600;25;96.9526280216285;96.23528944020356;97.5561680584295;94.8465330788804;96.18227047861726
754;KNN;209600;25;96.97926606234097;96.10368956743002;97.46156742685942;94.67318702290076;96.04714385976234
755;XGB;209600;25;96.59062897582697;96.56687340966921;97.87764578921981;95.1979961832061;96.51922588551135
756;XGB;209600;25;96.58923743638677;96.55613867684478;97.92420397806335;95.12881679389314;96.50627193159359
757;XGB;209600;25;96.56955709287531;96.62889631043257;97.96023521906616;95.24093511450383;96.581448137113
758;XGB;209600;25;96.58208094783714;96.6038486005089;97.8604909438338;95.29103053435114;96.5586702011941
759;XGB;209600;25;96.6008667302799;96.52631997455471;97.84455619608325;95.14869592875318;96.47779726270383
760;RF;209600;25;96.0522026081425;96.06313613231552;97.08679466129111;94.97614503816794;96.0198725008642
761;RF;209600;25;96.07466603053435;96.04683524173028;97.14101969212233;94.88629134860051;96.00041834103644
762;RF;209600;25;96.0522026081425;96.10965330788804;97.15926187978302;94.99681933842238;96.06587300630022
763;RF;209600;25;96.04912134223919;96.06114821882952;96.99575690213291;95.06679389312977;96.02158871411419
764;RF;209600;25;96.09196087786259;96.00787213740458;97.03986146454095;94.91094147582697;95.96359557969296
765;MLP;209600;25;96.51111243638677;96.50604325699746;97.66041364473492;95.29500636132315;96.46321144264591
766;MLP;209600;25;96.51399491094148;96.4786100508906;97.87849250100341;95.01669847328245;96.426366691817
767;MLP;209600;25;96.48039917302799;96.5573314249364;98.03355346814881;95.02067430025446;96.5036038036785
768;MLP;209600;25;96.50246501272265;96.53784987277353;97.72879254946093;95.29023536895674;96.49410987913778
769;MLP;209600;25;96.52781090966921;96.43090012722647;97.71833909469056;95.08190203562341;96.38209465314134
525;DUM;163750;32;50.03002544529262;49.94198473282443;49.94184504254494;49.82188295165395;49.88179187217218
526;DUM;163750;32;50.03002544529262;49.94198473282443;49.94184504254494;49.82188295165395;49.88179187217218
527;DUM;163750;32;50.03002544529262;49.94198473282443;49.94184504254494;49.82188295165395;49.88179187217218
528;DUM;163750;32;50.03002544529262;49.94198473282443;49.94184504254494;49.82188295165395;49.88179187217218
529;DUM;163750;32;50.03002544529262;49.94198473282443;49.94184504254494;49.82188295165395;49.88179187217218
530;DT;163750;32;97.72722646310432;97.7267175572519;98.73920319304847;96.6880407124682;97.70285767179713
531;DT;163750;32;97.6942748091603;97.65903307888041;98.83199499426426;96.45801526717557;97.63057587308128
532;DT;163750;32;97.73078880407124;97.77099236641222;98.72718589730279;96.78982188295166;97.74890528955862
533;DT;163750;32;97.72748091603053;97.7150127226463;98.75613611781347;96.64732824427482;97.69035297990762
534;DT;163750;32;97.72926208651398;97.68498727735368;98.66927064396496;96.67379134860052;97.66133883082365
535;NB;163750;32;95.40343511450382;95.39592875318066;97.75474586978169;92.92620865139949;95.2793417063664
536;NB;163750;32;95.37162849872773;95.35674300254453;97.78771500879337;92.81323155216285;95.2355588975572
537;NB;163750;32;95.41501272264631;95.46768447837151;97.74077715555936;93.08702290076336;95.35715402821366
538;NB;163750;32;95.38104325699746;95.40966921119592;97.68903520961156;93.01984732824428;95.29728264269775
539;NB;163750;32;95.44122137404581;95.38117048346056;97.67337424887197;92.97709923664122;95.26739529451027
540;KNN;163750;32;98.2235368956743;97.7618320610687;98.67135478250046;96.82748091603054;97.74072247565036
541;KNN;163750;32;98.23600508905852;97.76081424936388;98.6370232172471;96.86005089058524;97.74046115133775
542;KNN;163750;32;98.2265903307888;97.76590330788804;98.60291223927588;96.90483460559797;97.74649911707938
543;KNN;163750;32;98.22277353689567;97.74656488549618;98.63057721015093;96.83765903307888;97.72589541584067
544;KNN;163750;32;98.2265903307888;97.74249363867685;98.5901632551587;96.8702290076336;97.7226289363712
