experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
1;DT;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;200;26200;50.10416666666667;53.75;52.89256198347108;54.23728813559322;53.55648535564853;0;0;0;0
1;KNN;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;200;26200;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
1;SVM;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;200;26200;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
1;DT;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;400;13100;50.9375;52.083333333333336;50.42372881355932;51.293103448275865;50.85470085470085;0;0;0;0
1;KNN;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;400;13100;50.41666666666666;48.333333333333336;48.333333333333336;100.0;65.1685393258427;0;0;0;0
1;SVM;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;400;13100;50.41666666666666;48.333333333333336;48.333333333333336;100.0;65.1685393258427;0;0;0;0
1;DT;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;800;6550;50.15625;47.8125;46.98544698544699;47.88135593220339;47.42917103882476;0;0;0;0
1;KNN;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;SVM;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;800;6550;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
1;DT;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;1310;4000;49.475190839694655;50.76335877862596;50.0;50.258397932816536;50.128865979381445;0;0;0;0
1;KNN;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;SVM;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DT;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;1600;3275;49.98697916666666;49.73958333333333;48.734177215189874;49.09670563230606;48.91476971942827;0;0;0;0
1;KNN;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;SVM;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DT;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;3275;1600;50.1145038167939;50.203562340966926;50.27848101265823;50.45731707317073;50.36774029926452;0;0;0;0
1;KNN;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;SVM;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;3275;1600;99.98091603053436;100.0;100.0;100.0;100.0;0;0;1;1
1;DT;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;4000;1310;49.442708333333336;50.4375;50.62552126772311;50.39435450394355;50.509673392968594;0;0;0;0
1;KNN;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;RF;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;SVM;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DT;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;DUM;6550;800;49.85368956743002;49.87277353689568;49.9485596707819;49.33943089430895;49.64212678936605;0;0;0;0
1;KNN;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;NB;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
